Seed,Epoch,Loss,Accuracy,Test_Accuracy,Val_Accuracy,First_Epoch_Time,Steady_Epoch_Time,Batch_Size
42,1,0.7798261566309761,80.8282290755192,0.8880000114440918,0.8878731727600098,17.05269503593445,,64
42,2,0.34201558793910297,91.07841211450204,0.9098571538925171,0.9081559777259827,17.05269503593445,13.780253171920776,64
42,3,0.2828472055535099,92.69451240200718,0.9210000038146973,0.9201542735099792,17.05269503593445,13.780253171920776,64
42,4,0.24952437961544743,93.54988481937177,0.9294285774230957,0.9257249236106873,17.05269503593445,13.780253171920776,64
42,5,0.2250401888493523,94.15703851854498,0.9340000152587891,0.9345808029174805,17.05269503593445,13.780253171920776,64
42,6,0.2056300173861829,94.73204878658548,0.9391428232192993,0.9385802149772644,17.05269503593445,13.780253171920776,64
42,7,0.1896454572248398,95.14455615278844,0.9441428184509277,0.9424368143081665,17.05269503593445,13.780253171920776,64
42,8,0.17581935776234436,95.5017053875962,0.9467142820358276,0.9457220435142517,17.05269503593445,13.780253171920776,64
42,9,0.1639679478658932,95.89099805353666,0.9514285326004028,0.9485787749290466,17.05269503593445,13.780253171920776,64
42,10,0.1537258006138319,96.1499312487723,0.953000009059906,0.9512926936149597,17.05269503593445,13.780253171920776,64
42,1,1.5044195549997144,61.39752495580279,0.7925714254379272,0.7876017689704895,5.77752685546875,,256
42,2,0.6888417096874045,83.6014928838015,0.8560000061988831,0.854020893573761,5.77752685546875,4.27118706703186,256
42,3,0.49299799188045235,87.1711994857051,0.87628573179245,0.8768747448921204,5.77752685546875,4.27118706703186,256
42,4,0.41598701804828964,88.83551491990929,0.8878571391105652,0.8891587257385254,5.77752685546875,4.27118706703186,256
42,5,0.37345764889051053,89.8533902391114,0.8955714106559753,0.8948721885681152,5.77752685546875,4.27118706703186,256
42,6,0.34544908794810253,90.49804460793943,0.901285707950592,0.9002999663352966,5.77752685546875,4.27118706703186,256
42,7,0.3248623730233764,91.0355542063251,0.9071428179740906,0.9051564335823059,5.77752685546875,4.27118706703186,256
42,8,0.3085655242124305,91.44270433400597,0.9092857241630554,0.9084416627883911,5.77752685546875,4.27118706703186,256
42,9,0.29519171438542186,91.79985356881373,0.9145714044570923,0.912441074848175,5.77752685546875,4.27118706703186,256
42,10,0.2837338583072672,92.1391453418811,0.9167142510414124,0.9145836234092712,5.77752685546875,4.27118706703186,256
42,1,2.1083230096490584,32.418436043500776,0.5144285559654236,0.49207258224487305,3.3232851028442383,,1024
42,2,1.6395257026434484,60.90465901176807,0.6814285516738892,0.6731895804405212,3.3232851028442383,1.340991735458374,1024
42,3,1.2612338883401786,72.94951695565992,0.7619999647140503,0.7537494897842407,3.3232851028442383,1.340991735458374,1024
42,4,0.9947934967070495,78.30854122395043,0.796999990940094,0.7921725511550903,3.3232851028442383,1.340991735458374,1024
42,5,0.8227548578849496,81.03894712405578,0.8205714225769043,0.8167404532432556,3.3232851028442383,1.340991735458374,1024
42,6,0.710092969230376,83.02291112341292,0.8387143015861511,0.8370233178138733,3.3232851028442383,1.340991735458374,1024
42,7,0.6323804946830799,84.48900873229879,0.849142849445343,0.8471646904945374,3.3232851028442383,1.340991735458374,1024
42,8,0.5762642880001588,85.5336702441115,0.8567142486572266,0.8570204377174377,3.3232851028442383,1.340991735458374,1024
42,9,0.5340736240495002,86.31939856068858,0.8639999628067017,0.8637337684631348,3.3232851028442383,1.340991735458374,1024
42,10,0.5011709024262033,86.93012375220987,0.8694285750389099,0.8701614141464233,3.3232851028442383,1.340991735458374,1024
