Seed,Epoch,Loss,Accuracy,Iteration,Total_iter,Batch_Size
42,1,2.3194823265075684,10.9375,1,2625,64
42,1,2.2879300117492676,21.875,2,2625,64
42,1,1.9337599277496338,43.75,3,2625,64
42,1,1.8457281589508057,43.75,4,2625,64
42,1,1.4723470211029053,46.875,5,2625,64
42,1,1.1922134160995483,62.5,6,2625,64
42,1,1.3422496318817139,62.5,7,2625,64
42,1,1.0287762880325317,65.625,8,2625,64
42,1,0.8664872646331787,67.1875,9,2625,64
42,1,1.4979794025421143,62.5,10,2625,64
42,1,1.2225115299224854,71.875,11,2625,64
42,1,0.8230470418930054,73.4375,12,2625,64
42,1,0.6191012263298035,82.8125,13,2625,64
42,1,0.8291047215461731,70.3125,14,2625,64
42,1,0.7074693441390991,79.6875,15,2625,64
42,1,0.7671605348587036,81.25,16,2625,64
42,1,0.829761803150177,76.5625,17,2625,64
42,1,0.5047816634178162,84.375,18,2625,64
42,1,0.4521959125995636,81.25,19,2625,64
42,1,0.4161026179790497,84.375,20,2625,64
42,1,0.49680280685424805,81.25,21,2625,64
42,1,0.4949944019317627,79.6875,22,2625,64
42,1,0.5425655841827393,78.125,23,2625,64
42,1,0.4148002862930298,89.0625,24,2625,64
42,1,0.5257593989372253,89.0625,25,2625,64
42,1,0.4959770441055298,84.375,26,2625,64
42,1,0.47620248794555664,85.9375,27,2625,64
42,1,0.3951072692871094,90.625,28,2625,64
42,1,0.5573666095733643,82.8125,29,2625,64
42,1,0.4822171926498413,89.0625,30,2625,64
42,1,0.3340150713920593,89.0625,31,2625,64
42,1,0.26873472332954407,95.3125,32,2625,64
42,1,0.648297905921936,84.375,33,2625,64
42,1,0.46419522166252136,87.5,34,2625,64
42,1,0.496060848236084,82.8125,35,2625,64
42,1,0.5428143739700317,84.375,36,2625,64
42,1,0.3392501473426819,85.9375,37,2625,64
42,1,0.2644597887992859,90.625,38,2625,64
42,1,0.5463935136795044,84.375,39,2625,64
42,1,0.15981055796146393,92.1875,40,2625,64
42,1,0.3162548243999481,95.3125,41,2625,64
42,1,0.5508268475532532,84.375,42,2625,64
42,1,0.5385843515396118,84.375,43,2625,64
42,1,0.5093743801116943,82.8125,44,2625,64
42,1,0.22948455810546875,92.1875,45,2625,64
42,1,0.37802553176879883,92.1875,46,2625,64
42,1,0.37320899963378906,89.0625,47,2625,64
42,1,0.16837164759635925,95.3125,48,2625,64
42,1,0.2587217390537262,87.5,49,2625,64
42,1,0.25231385231018066,89.0625,50,2625,64
42,1,0.2486010193824768,92.1875,51,2625,64
42,1,0.1465693712234497,96.875,52,2625,64
42,1,0.3468947410583496,87.5,53,2625,64
42,1,0.39414656162261963,87.5,54,2625,64
42,1,0.43617039918899536,82.8125,55,2625,64
42,1,0.29655522108078003,89.0625,56,2625,64
42,1,0.19412121176719666,92.1875,57,2625,64
42,1,0.2974693477153778,90.625,58,2625,64
42,1,0.1431846022605896,96.875,59,2625,64
42,1,0.18012762069702148,95.3125,60,2625,64
42,1,0.27004602551460266,93.75,61,2625,64
42,1,0.17196796834468842,93.75,62,2625,64
42,1,0.3250291347503662,87.5,63,2625,64
42,1,0.11490855365991592,95.3125,64,2625,64
42,1,0.2148948609828949,90.625,65,2625,64
42,1,0.3574100136756897,85.9375,66,2625,64
42,1,0.3400862216949463,92.1875,67,2625,64
42,1,0.21951255202293396,90.625,68,2625,64
42,1,0.5720766186714172,85.9375,69,2625,64
42,1,0.3120991587638855,93.75,70,2625,64
42,1,0.3046978712081909,92.1875,71,2625,64
42,1,0.23473972082138062,90.625,72,2625,64
42,1,0.17889825999736786,92.1875,73,2625,64
42,1,0.2084275484085083,95.3125,74,2625,64
42,1,0.38745957612991333,84.375,75,2625,64
42,1,0.275065541267395,92.1875,76,2625,64
42,1,0.35813647508621216,84.375,77,2625,64
42,1,0.4478142261505127,90.625,78,2625,64
42,1,0.3071473240852356,85.9375,79,2625,64
42,1,0.17932957410812378,92.1875,80,2625,64
42,1,0.7412642240524292,82.8125,81,2625,64
42,1,0.3443000614643097,90.625,82,2625,64
42,1,0.3474671244621277,92.1875,83,2625,64
42,1,0.2738669514656067,93.75,84,2625,64
42,1,0.13155801594257355,95.3125,85,2625,64
42,1,0.3247097134590149,89.0625,86,2625,64
42,1,0.28303489089012146,89.0625,87,2625,64
42,1,0.20931601524353027,93.75,88,2625,64
42,1,0.23312626779079437,92.1875,89,2625,64
42,1,0.2035130113363266,92.1875,90,2625,64
42,1,0.255744069814682,93.75,91,2625,64
42,1,0.2532030940055847,89.0625,92,2625,64
42,1,0.18701940774917603,93.75,93,2625,64
42,1,0.07923802733421326,98.4375,94,2625,64
42,1,0.31255966424942017,87.5,95,2625,64
42,1,0.2368016242980957,92.1875,96,2625,64
42,1,0.5051923394203186,85.9375,97,2625,64
42,1,0.15144522488117218,92.1875,98,2625,64
42,1,0.21578919887542725,92.1875,99,2625,64
42,1,0.37093955278396606,87.5,100,2625,64
42,1,0.11887143552303314,95.3125,101,2625,64
42,1,0.3055698871612549,93.75,102,2625,64
42,1,0.24691377580165863,89.0625,103,2625,64
42,1,0.3233107328414917,89.0625,104,2625,64
42,1,0.4820758104324341,87.5,105,2625,64
42,1,0.3360748887062073,92.1875,106,2625,64
42,1,0.5740236043930054,82.8125,107,2625,64
42,1,0.2553933560848236,93.75,108,2625,64
42,1,0.25430893898010254,93.75,109,2625,64
42,1,0.37382039427757263,93.75,110,2625,64
42,1,0.4221245050430298,87.5,111,2625,64
42,1,0.302366703748703,89.0625,112,2625,64
42,1,0.6452668905258179,84.375,113,2625,64
