2026-03-15 20:30:40 | INFO | Running experiments for seed=5, gamma=0.9, lr=0.01
2026-03-15 20:30:40 | INFO | Running Random Agent baseline
2026-03-15 20:30:41 | INFO | Running REINFORCE
2026-03-15 20:38:33 | INFO | Running DQN
2026-03-15 20:43:30 | INFO | Running experiments for seed=5, gamma=0.9, lr=0.001
2026-03-15 20:43:30 | INFO | Running Random Agent baseline
2026-03-15 20:43:31 | INFO | Running REINFORCE
2026-03-15 20:51:28 | INFO | Running DQN
2026-03-15 20:57:06 | INFO | Running experiments for seed=5, gamma=0.99, lr=0.1
2026-03-15 20:57:06 | INFO | Running Random Agent baseline
2026-03-15 20:57:07 | INFO | Running REINFORCE
2026-03-15 21:04:58 | INFO | Running DQN
2026-03-15 21:15:27 | INFO | Running experiments for seed=5, gamma=0.99, lr=0.01
2026-03-15 21:15:27 | INFO | Running Random Agent baseline
2026-03-15 21:15:28 | INFO | Running REINFORCE
2026-03-15 21:23:28 | INFO | Running DQN
2026-03-15 21:29:27 | INFO | Running experiments for seed=5, gamma=0.99, lr=0.001
2026-03-15 21:29:27 | INFO | Running Random Agent baseline
2026-03-15 21:29:28 | INFO | Running REINFORCE
2026-03-15 21:37:24 | INFO | Running DQN
2026-03-15 21:43:05 | INFO | Running experiments for seed=6, gamma=0.9, lr=0.1
2026-03-15 21:43:05 | INFO | Running Random Agent baseline
2026-03-15 21:43:06 | INFO | Running REINFORCE
2026-03-15 21:50:54 | INFO | Running DQN
2026-03-15 21:55:35 | INFO | Running experiments for seed=6, gamma=0.9, lr=0.01
2026-03-15 21:55:35 | INFO | Running Random Agent baseline
2026-03-15 21:55:36 | INFO | Running REINFORCE
2026-03-15 22:03:26 | INFO | Running DQN
2026-03-15 22:08:25 | INFO | Running experiments for seed=6, gamma=0.9, lr=0.001
2026-03-15 22:08:25 | INFO | Running Random Agent baseline
2026-03-15 22:08:26 | INFO | Running REINFORCE
2026-03-15 22:16:32 | INFO | Running DQN
2026-03-15 22:22:23 | INFO | Running experiments for seed=6, gamma=0.99, lr=0.1
2026-03-15 22:22:23 | INFO | Running Random Agent baseline
2026-03-15 22:22:24 | INFO | Running REINFORCE
2026-03-15 22:30:27 | INFO | Running DQN
2026-03-15 22:40:08 | INFO | Running experiments for seed=6, gamma=0.99, lr=0.01
2026-03-15 22:40:08 | INFO | Running Random Agent baseline
2026-03-15 22:40:10 | INFO | Running REINFORCE
2026-03-15 22:48:07 | INFO | Running DQN
