2026-02-13 17:24:38 | INFO | MLP Implementation with JAX From scratch.
2026-02-13 17:24:38 | INFO | JAX devices: [CudaDevice(id=0)]
2026-02-13 17:24:38 | INFO | JAX backend: gpu
2026-02-13 17:24:38 | INFO | Straring run 42 with Seed = 42 and Batch Size=1024
2026-02-13 17:24:38 | INFO | Total Epochs = 3
2026-02-13 17:24:41 | INFO | Total iterations = 165
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 1/165| loss=2.406686 | acc=9.96%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 2/165| loss=2.402228 | acc=10.06%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 3/165| loss=2.414942 | acc=9.77%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 4/165| loss=2.359853 | acc=12.21%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 5/165| loss=2.367372 | acc=9.47%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 6/165| loss=2.350672 | acc=12.79%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 7/165| loss=2.324708 | acc=14.55%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 8/165| loss=2.306438 | acc=13.48%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 9/165| loss=2.291074 | acc=17.68%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 10/165| loss=2.289994 | acc=16.80%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 11/165| loss=2.278223 | acc=18.95%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 12/165| loss=2.249098 | acc=20.90%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 13/165| loss=2.243984 | acc=19.92%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 14/165| loss=2.243503 | acc=23.54%
2026-02-13 17:24:49 | INFO | | An Iteration is Completed| epoch=1/3 | Iteration = 15/165| loss=2.219650 | acc=24.22%
