Seed,Epoch,Loss,Accuracy,Iteration,Total_iter,Batch_Size
42,1,2.3026678562164307,4.6875,1,2625,64
42,1,2.286977767944336,17.1875,2,2625,64
42,1,2.004704475402832,18.75,3,2625,64
42,1,1.8152194023132324,34.375,4,2625,64
42,1,1.402105450630188,56.25,5,2625,64
42,1,1.2460112571716309,62.5,6,2625,64
42,1,1.0150012969970703,64.0625,7,2625,64
42,1,1.03877854347229,56.25,8,2625,64
42,1,0.8580224514007568,73.4375,9,2625,64
42,1,1.0261276960372925,64.0625,10,2625,64
42,1,1.2098565101623535,53.125,11,2625,64
42,1,0.6388387680053711,78.125,12,2625,64
42,1,0.8922553062438965,73.4375,13,2625,64
42,1,1.1135271787643433,60.9375,14,2625,64
42,1,0.5373576879501343,79.6875,15,2625,64
42,1,0.786749005317688,79.6875,16,2625,64
42,1,0.7099407911300659,70.3125,17,2625,64
42,1,0.6336653232574463,78.125,18,2625,64
42,1,0.5059484839439392,79.6875,19,2625,64
42,1,0.7214429378509521,79.6875,20,2625,64
42,1,0.852482795715332,76.5625,21,2625,64
42,1,0.472594678401947,82.8125,22,2625,64
42,1,0.5862466096878052,79.6875,23,2625,64
42,1,0.6223984956741333,85.9375,24,2625,64
42,1,0.7922215461730957,78.125,25,2625,64
42,1,0.4764890670776367,85.9375,26,2625,64
42,1,0.5610837936401367,76.5625,27,2625,64
42,1,0.5386451482772827,81.25,28,2625,64
42,1,0.6197885274887085,76.5625,29,2625,64
42,1,0.5784246921539307,78.125,30,2625,64
42,1,0.318939208984375,92.1875,31,2625,64
42,1,0.6107860803604126,75.0,32,2625,64
42,1,0.5074011087417603,85.9375,33,2625,64
42,1,0.2632984519004822,92.1875,34,2625,64
42,1,0.5456438064575195,81.25,35,2625,64
42,1,0.46692830324172974,87.5,36,2625,64
42,1,0.7627075910568237,81.25,37,2625,64
42,1,0.3639868497848511,89.0625,38,2625,64
42,1,0.3726434111595154,90.625,39,2625,64
42,1,0.3444980978965759,89.0625,40,2625,64
42,1,0.34802043437957764,87.5,41,2625,64
42,1,0.3769039511680603,89.0625,42,2625,64
42,1,0.5476841926574707,79.6875,43,2625,64
42,1,0.47334206104278564,90.625,44,2625,64
42,1,0.6400011777877808,78.125,45,2625,64
42,1,0.46745380759239197,84.375,46,2625,64
42,1,0.35115259885787964,92.1875,47,2625,64
42,1,0.6140670776367188,79.6875,48,2625,64
42,1,0.1960187405347824,95.3125,49,2625,64
42,1,0.21410781145095825,92.1875,50,2625,64
42,1,0.738416314125061,81.25,51,2625,64
42,1,0.3282107710838318,87.5,52,2625,64
42,1,0.365264892578125,87.5,53,2625,64
42,1,0.4538177251815796,84.375,54,2625,64
42,1,0.24464009702205658,90.625,55,2625,64
42,1,0.6408990025520325,82.8125,56,2625,64
42,1,0.32649433612823486,93.75,57,2625,64
42,1,0.21908974647521973,92.1875,58,2625,64
42,1,0.26900532841682434,93.75,59,2625,64
42,1,0.3846995532512665,87.5,60,2625,64
42,1,0.25094684958457947,90.625,61,2625,64
42,1,0.25232744216918945,90.625,62,2625,64
42,1,0.3001766800880432,90.625,63,2625,64
42,1,0.2726367712020874,90.625,64,2625,64
42,1,0.2786470055580139,90.625,65,2625,64
42,1,0.36780571937561035,90.625,66,2625,64
42,1,0.20561817288398743,90.625,67,2625,64
42,1,0.25980374217033386,92.1875,68,2625,64
42,1,0.6464900374412537,82.8125,69,2625,64
42,1,0.18949159979820251,95.3125,70,2625,64
42,1,0.3095630407333374,90.625,71,2625,64
42,1,0.19173158705234528,92.1875,72,2625,64
42,1,0.35721802711486816,90.625,73,2625,64
42,1,0.4425612688064575,89.0625,74,2625,64
42,1,0.4743615984916687,84.375,75,2625,64
42,1,0.24132958054542542,90.625,76,2625,64
42,1,0.23795221745967865,90.625,77,2625,64
42,1,0.2373754233121872,92.1875,78,2625,64
42,1,0.34445077180862427,89.0625,79,2625,64
42,1,0.23625391721725464,95.3125,80,2625,64
42,1,0.28000399470329285,89.0625,81,2625,64
42,1,0.24624809622764587,95.3125,82,2625,64
42,1,0.25091180205345154,92.1875,83,2625,64
42,1,0.20888416469097137,93.75,84,2625,64
42,1,0.3036734461784363,93.75,85,2625,64
42,1,0.326750785112381,92.1875,86,2625,64
42,1,0.26411187648773193,87.5,87,2625,64
42,1,0.5020846128463745,84.375,88,2625,64
42,1,0.34656262397766113,84.375,89,2625,64
42,1,0.17419713735580444,95.3125,90,2625,64
42,1,0.2697392404079437,92.1875,91,2625,64
42,1,0.2432204782962799,93.75,92,2625,64
42,1,0.23820796608924866,90.625,93,2625,64
42,1,0.16114577651023865,93.75,94,2625,64
42,1,0.3467584252357483,87.5,95,2625,64
42,1,0.10348686575889587,95.3125,96,2625,64
42,1,0.2440461367368698,92.1875,97,2625,64
42,1,0.4057862460613251,84.375,98,2625,64
42,1,0.39073044061660767,87.5,99,2625,64
42,1,0.2027004212141037,92.1875,100,2625,64
42,1,0.10625608265399933,96.875,101,2625,64
42,1,0.26063498854637146,93.75,102,2625,64
42,1,0.386047899723053,85.9375,103,2625,64
42,1,0.335471510887146,89.0625,104,2625,64
42,1,0.3720158040523529,89.0625,105,2625,64
42,1,0.3680421710014343,89.0625,106,2625,64
42,1,0.231295645236969,93.75,107,2625,64
42,1,0.1993759274482727,90.625,108,2625,64
42,1,0.21084074676036835,93.75,109,2625,64
42,1,0.1507617086172104,96.875,110,2625,64
42,1,0.4899187684059143,90.625,111,2625,64
42,1,0.42268648743629456,85.9375,112,2625,64
42,1,0.47545093297958374,82.8125,113,2625,64
42,1,0.5419366359710693,85.9375,114,2625,64
42,1,0.22407963871955872,92.1875,115,2625,64
42,1,0.4048523008823395,84.375,116,2625,64
42,1,0.5336987376213074,85.9375,117,2625,64
42,1,0.32761096954345703,85.9375,118,2625,64
42,1,0.301795095205307,87.5,119,2625,64
42,1,0.17576542496681213,93.75,120,2625,64
42,1,0.17463034391403198,95.3125,121,2625,64
42,1,0.2072501927614212,93.75,122,2625,64
42,1,0.2860739827156067,92.1875,123,2625,64
42,1,0.4470405578613281,85.9375,124,2625,64
42,1,0.27576369047164917,90.625,125,2625,64
42,1,0.26607489585876465,90.625,126,2625,64
42,1,0.3018721342086792,90.625,127,2625,64
42,1,0.45082634687423706,92.1875,128,2625,64
42,1,0.40907615423202515,85.9375,129,2625,64
42,1,0.16861453652381897,95.3125,130,2625,64
42,1,0.2421489953994751,89.0625,131,2625,64
42,1,0.6033296585083008,87.5,132,2625,64
42,1,0.39982178807258606,89.0625,133,2625,64
42,1,0.1295987218618393,96.875,134,2625,64
42,1,0.1458047330379486,95.3125,135,2625,64
42,1,0.19379103183746338,95.3125,136,2625,64
42,1,0.2272537797689438,93.75,137,2625,64
42,1,0.3717185854911804,89.0625,138,2625,64
42,1,0.2735019028186798,92.1875,139,2625,64
42,1,0.4305076599121094,87.5,140,2625,64
42,1,0.508717954158783,89.0625,141,2625,64
42,1,0.20447716116905212,95.3125,142,2625,64
42,1,0.3776238262653351,89.0625,143,2625,64
42,1,0.21788626909255981,93.75,144,2625,64
42,1,0.14478453993797302,96.875,145,2625,64
42,1,0.2526165246963501,89.0625,146,2625,64
42,1,0.5148677825927734,84.375,147,2625,64
42,1,0.1283460557460785,93.75,148,2625,64
42,1,0.22338300943374634,93.75,149,2625,64
42,1,0.14369451999664307,96.875,150,2625,64
42,1,0.4574562907218933,87.5,151,2625,64
42,1,0.40100520849227905,85.9375,152,2625,64
42,1,0.27034658193588257,89.0625,153,2625,64
42,1,0.23574508726596832,92.1875,154,2625,64
42,1,0.4210875630378723,89.0625,155,2625,64
42,1,0.31536775827407837,92.1875,156,2625,64
42,1,0.1931418478488922,92.1875,157,2625,64
42,1,0.1778421700000763,92.1875,158,2625,64
42,1,0.32391464710235596,87.5,159,2625,64
42,1,0.4243581295013428,87.5,160,2625,64
42,1,0.3650200068950653,85.9375,161,2625,64
42,1,0.44654542207717896,85.9375,162,2625,64
42,1,0.3847483992576599,93.75,163,2625,64
42,1,0.2773934602737427,89.0625,164,2625,64
42,1,0.22025229036808014,93.75,165,2625,64
42,1,0.30761122703552246,89.0625,166,2625,64
42,1,0.23536892235279083,93.75,167,2625,64
42,1,0.19827310740947723,93.75,168,2625,64
42,1,0.15423157811164856,95.3125,169,2625,64
42,1,0.2644832134246826,93.75,170,2625,64
42,1,0.11532048135995865,96.875,171,2625,64
42,1,0.39512792229652405,90.625,172,2625,64
42,1,0.48013389110565186,89.0625,173,2625,64
42,1,0.19321447610855103,95.3125,174,2625,64
42,1,0.17610086500644684,93.75,175,2625,64
42,1,0.23517504334449768,93.75,176,2625,64
42,1,0.27443501353263855,92.1875,177,2625,64
42,1,0.17002511024475098,95.3125,178,2625,64
42,1,0.1608225405216217,95.3125,179,2625,64
42,1,0.5109877586364746,90.625,180,2625,64
42,1,0.1552962362766266,95.3125,181,2625,64
42,1,0.1388283520936966,92.1875,182,2625,64
42,1,0.1836981624364853,95.3125,183,2625,64
42,1,0.2895911633968353,93.75,184,2625,64
42,1,0.17915496230125427,96.875,185,2625,64
42,1,0.33943843841552734,90.625,186,2625,64
42,1,0.25696104764938354,95.3125,187,2625,64
42,1,0.2452724575996399,93.75,188,2625,64
42,1,0.23973092436790466,93.75,189,2625,64
42,1,0.2982897460460663,93.75,190,2625,64
42,1,0.22047650814056396,95.3125,191,2625,64
42,1,0.24696937203407288,89.0625,192,2625,64
42,1,0.2414044886827469,96.875,193,2625,64
42,1,0.17164984345436096,95.3125,194,2625,64
