Seed,Epoch,Loss,Accuracy,Iteration,Total_iter,Batch_Size
42,1,2.329270839691162,14.0625,1,2625,64
42,1,2.4402146339416504,9.375,2,2625,64
42,1,2.44857120513916,6.25,3,2625,64
42,1,2.382786989212036,9.375,4,2625,64
42,1,2.2909421920776367,17.1875,5,2625,64
42,1,2.3848023414611816,15.625,6,2625,64
42,1,2.3827052116394043,12.5,7,2625,64
42,1,2.2021164894104004,26.5625,8,2625,64
42,1,2.246173143386841,18.75,9,2625,64
42,1,2.253844976425171,20.3125,10,2625,64
42,1,2.25797700881958,20.3125,11,2625,64
42,1,2.2602460384368896,20.3125,12,2625,64
42,1,2.231999635696411,23.4375,13,2625,64
42,1,2.1438310146331787,39.0625,14,2625,64
42,1,2.207947254180908,20.3125,15,2625,64
42,1,2.2108659744262695,23.4375,16,2625,64
42,1,2.1301751136779785,31.25,17,2625,64
42,1,2.191920757293701,31.25,18,2625,64
42,1,2.0935463905334473,37.5,19,2625,64
42,1,2.164933204650879,28.125,20,2625,64
42,1,2.1511008739471436,31.25,21,2625,64
42,1,2.128373146057129,25.0,22,2625,64
42,1,2.0769901275634766,39.0625,23,2625,64
42,1,2.0665950775146484,35.9375,24,2625,64
42,1,2.0991621017456055,35.9375,25,2625,64
42,1,2.111563205718994,42.1875,26,2625,64
42,1,2.116150379180908,35.9375,27,2625,64
42,1,2.1335365772247314,32.8125,28,2625,64
42,1,2.127711057662964,31.25,29,2625,64
42,1,1.9990432262420654,40.625,30,2625,64
42,1,2.109959363937378,39.0625,31,2625,64
42,1,2.062283992767334,46.875,32,2625,64
42,1,2.0452804565429688,45.3125,33,2625,64
42,1,2.130324602127075,28.125,34,2625,64
42,1,2.0014421939849854,46.875,35,2625,64
42,1,2.0399527549743652,43.75,36,2625,64
42,1,2.0189199447631836,42.1875,37,2625,64
42,1,2.0071351528167725,39.0625,38,2625,64
42,1,1.956231713294983,50.0,39,2625,64
42,1,2.0409910678863525,43.75,40,2625,64
42,1,2.0038461685180664,42.1875,41,2625,64
42,1,1.9588313102722168,45.3125,42,2625,64
42,1,2.0022027492523193,35.9375,43,2625,64
42,1,1.9232521057128906,45.3125,44,2625,64
42,1,1.989963173866272,35.9375,45,2625,64
42,1,1.969484567642212,37.5,46,2625,64
42,1,1.9209508895874023,45.3125,47,2625,64
42,1,1.8775174617767334,46.875,48,2625,64
42,1,1.8718597888946533,56.25,49,2625,64
42,1,1.7989394664764404,57.8125,50,2625,64
42,1,1.9040801525115967,45.3125,51,2625,64
42,1,1.8075213432312012,50.0,52,2625,64
42,1,1.8384885787963867,51.5625,53,2625,64
42,1,1.880598783493042,45.3125,54,2625,64
42,1,1.9552370309829712,42.1875,55,2625,64
42,1,1.8232805728912354,62.5,56,2625,64
42,1,1.843343734741211,53.125,57,2625,64
42,1,1.8774378299713135,51.5625,58,2625,64
42,1,1.814229130744934,65.625,59,2625,64
42,1,1.7880088090896606,60.9375,60,2625,64
42,1,1.8042851686477661,46.875,61,2625,64
42,1,1.8067569732666016,51.5625,62,2625,64
42,1,1.8104662895202637,51.5625,63,2625,64
42,1,1.7976934909820557,59.375,64,2625,64
42,1,1.753227710723877,60.9375,65,2625,64
42,1,1.784191370010376,59.375,66,2625,64
42,1,1.7286674976348877,59.375,67,2625,64
42,1,1.8082020282745361,64.0625,68,2625,64
42,1,1.833845853805542,56.25,69,2625,64
42,1,1.753082513809204,57.8125,70,2625,64
42,1,1.7086353302001953,62.5,71,2625,64
42,1,1.7688090801239014,56.25,72,2625,64
42,1,1.8176939487457275,53.125,73,2625,64
42,1,1.7070761919021606,57.8125,74,2625,64
42,1,1.7144343852996826,50.0,75,2625,64
42,1,1.5955579280853271,76.5625,76,2625,64
42,1,1.6761219501495361,67.1875,77,2625,64
42,1,1.6673777103424072,62.5,78,2625,64
42,1,1.588055968284607,73.4375,79,2625,64
42,1,1.7000513076782227,65.625,80,2625,64
42,1,1.605161190032959,70.3125,81,2625,64
42,1,1.623421549797058,56.25,82,2625,64
42,1,1.7387791872024536,59.375,83,2625,64
42,1,1.6230897903442383,59.375,84,2625,64
42,1,1.6253790855407715,64.0625,85,2625,64
42,1,1.6091759204864502,60.9375,86,2625,64
42,1,1.702455997467041,60.9375,87,2625,64
42,1,1.7096233367919922,54.6875,88,2625,64
42,1,1.7148034572601318,59.375,89,2625,64
42,1,1.6403878927230835,57.8125,90,2625,64
42,1,1.5134150981903076,70.3125,91,2625,64
42,1,1.5851067304611206,73.4375,92,2625,64
42,1,1.5924580097198486,70.3125,93,2625,64
42,1,1.5603694915771484,70.3125,94,2625,64
42,1,1.608088731765747,62.5,95,2625,64
42,1,1.4492099285125732,71.875,96,2625,64
42,1,1.5164790153503418,71.875,97,2625,64
42,1,1.5560274124145508,62.5,98,2625,64
42,1,1.5906461477279663,67.1875,99,2625,64
42,1,1.5788357257843018,65.625,100,2625,64
42,1,1.4843618869781494,71.875,101,2625,64
42,1,1.3897969722747803,79.6875,102,2625,64
42,1,1.4074636697769165,71.875,103,2625,64
42,1,1.431274652481079,67.1875,104,2625,64
42,1,1.498413324356079,65.625,105,2625,64
42,1,1.5206900835037231,64.0625,106,2625,64
42,1,1.5739548206329346,68.75,107,2625,64
42,1,1.476572871208191,65.625,108,2625,64
42,1,1.5368530750274658,60.9375,109,2625,64
42,1,1.380939245223999,71.875,110,2625,64
42,1,1.464082956314087,67.1875,111,2625,64
42,1,1.4061471223831177,73.4375,112,2625,64
42,1,1.4323680400848389,71.875,113,2625,64
42,1,1.4080836772918701,70.3125,114,2625,64
42,1,1.3566889762878418,68.75,115,2625,64
42,1,1.3902671337127686,70.3125,116,2625,64
42,1,1.4593513011932373,71.875,117,2625,64
42,1,1.2693206071853638,87.5,118,2625,64
42,1,1.4249811172485352,71.875,119,2625,64
42,1,1.4367430210113525,64.0625,120,2625,64
42,1,1.3329377174377441,76.5625,121,2625,64
42,1,1.2832157611846924,78.125,122,2625,64
42,1,1.2938865423202515,71.875,123,2625,64
42,1,1.2438740730285645,73.4375,124,2625,64
42,1,1.3365180492401123,78.125,125,2625,64
42,1,1.3218965530395508,73.4375,126,2625,64
42,1,1.314452886581421,73.4375,127,2625,64
42,1,1.434910774230957,68.75,128,2625,64
42,1,1.315874695777893,73.4375,129,2625,64
42,1,1.3680185079574585,68.75,130,2625,64
42,1,1.3113899230957031,67.1875,131,2625,64
42,1,1.3052834272384644,65.625,132,2625,64
42,1,1.3017326593399048,68.75,133,2625,64
42,1,1.2170321941375732,84.375,134,2625,64
42,1,1.1292037963867188,82.8125,135,2625,64
42,1,1.2571176290512085,64.0625,136,2625,64
42,1,1.3175899982452393,67.1875,137,2625,64
42,1,1.260642409324646,71.875,138,2625,64
42,1,1.3057494163513184,68.75,139,2625,64
42,1,1.1903915405273438,85.9375,140,2625,64
42,1,1.282224178314209,78.125,141,2625,64
42,1,1.208321452140808,75.0,142,2625,64
42,1,1.2369141578674316,76.5625,143,2625,64
42,1,1.293816089630127,71.875,144,2625,64
42,1,1.308424949645996,62.5,145,2625,64
42,1,1.301196813583374,71.875,146,2625,64
42,1,1.2203335762023926,71.875,147,2625,64
42,1,1.415243148803711,64.0625,148,2625,64
42,1,1.1737513542175293,73.4375,149,2625,64
42,1,1.1716978549957275,79.6875,150,2625,64
42,1,1.1277178525924683,79.6875,151,2625,64
42,1,1.1901577711105347,68.75,152,2625,64
42,1,1.229555368423462,79.6875,153,2625,64
42,1,1.219886064529419,75.0,154,2625,64
42,1,1.2074131965637207,78.125,155,2625,64
42,1,1.2338169813156128,78.125,156,2625,64
42,1,1.0975704193115234,78.125,157,2625,64
42,1,1.1535120010375977,76.5625,158,2625,64
42,1,1.108001470565796,76.5625,159,2625,64
42,1,1.154449462890625,78.125,160,2625,64
42,1,1.1972479820251465,75.0,161,2625,64
42,1,1.1865246295928955,78.125,162,2625,64
42,1,1.1305242776870728,75.0,163,2625,64
42,1,1.2899372577667236,73.4375,164,2625,64
42,1,1.1736459732055664,75.0,165,2625,64
42,1,0.9990284442901611,87.5,166,2625,64
42,1,1.1565990447998047,73.4375,167,2625,64
42,1,1.039578914642334,81.25,168,2625,64
42,1,1.033349633216858,76.5625,169,2625,64
42,1,1.164701223373413,71.875,170,2625,64
42,1,1.0527706146240234,84.375,171,2625,64
42,1,1.170324444770813,79.6875,172,2625,64
42,1,1.010819911956787,81.25,173,2625,64
42,1,0.9976339340209961,79.6875,174,2625,64
42,1,1.0852558612823486,73.4375,175,2625,64
42,1,1.2160320281982422,71.875,176,2625,64
42,1,1.0309114456176758,76.5625,177,2625,64
42,1,1.0894463062286377,78.125,178,2625,64
42,1,1.0574100017547607,73.4375,179,2625,64
42,1,1.0946986675262451,78.125,180,2625,64
42,1,1.0285370349884033,76.5625,181,2625,64
42,1,0.9805598258972168,85.9375,182,2625,64
42,1,1.0523507595062256,78.125,183,2625,64
42,1,1.2182962894439697,71.875,184,2625,64
42,1,0.9077222347259521,82.8125,185,2625,64
42,1,1.0143274068832397,76.5625,186,2625,64
42,1,0.9108060598373413,79.6875,187,2625,64
42,1,1.0109710693359375,73.4375,188,2625,64
42,1,0.9124525189399719,79.6875,189,2625,64
42,1,1.0780075788497925,78.125,190,2625,64
42,1,0.9929279685020447,82.8125,191,2625,64
42,1,0.8348232507705688,82.8125,192,2625,64
42,1,1.020249605178833,81.25,193,2625,64
42,1,1.0168652534484863,76.5625,194,2625,64
42,1,0.8604339361190796,87.5,195,2625,64
42,1,0.9838109612464905,78.125,196,2625,64
42,1,0.9513546228408813,81.25,197,2625,64
42,1,0.9610906839370728,76.5625,198,2625,64
42,1,1.1113412380218506,71.875,199,2625,64
